,public_client_id,taxa_Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales.Bifidobacteriaceae.Bifidobacterium,taxa_Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Coriobacteriaceae.Collinsella,taxa_Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales.Eggerthellaceae.Adlercreutzia,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Bacteroidaceae.Bacteroides,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Marinifilaceae.Odoribacter,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Rikenellaceae.Alistipes,taxa_Bacteria.Bacteroidetes.Bacteroidia.Bacteroidales.Tannerellaceae.Parabacteroides,taxa_Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.Christensenellaceae_R-7_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Christensenellaceae.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiaceae_1.Clostridium_sensu_stricto_1,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Clostridiales_vadinBB60_group.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.Family_XIII_AD3011_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.Family_XIII_UCG-001,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Family_XIII.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Agathobacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Anaerostipes,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Blautia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_1,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Coprococcus_3,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Dorea,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Fusicatenibacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.GCA-900066575,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnoclostridium,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospira,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_FCS020_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_ND3007_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_NK4A136_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-001,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-004,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Lachnospiraceae_UCG-010,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Marvinbryantia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.Roseburia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Lachnospiraceae.nan,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Intestinibacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Peptostreptococcaceae.Romboutsia,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Anaerotruncus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Butyricicoccus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Candidatus_Soleaferrea,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.DTU089,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Faecalibacterium,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Flavonifractor,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.GCA-900066225,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Intestinimonas,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Negativibacillus,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillibacter,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Oscillospira,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminiclostridium_5,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminiclostridium_9,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_NK4A214_group,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-002,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-003,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-004,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-005,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcaceae_UCG-013,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus_1,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Ruminococcus_2,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.Subdoligranulum,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.UBA1819,taxa_Bacteria.Firmicutes.Clostridia.Clostridiales.Ruminococcaceae.nan,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelatoclostridium,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Erysipelotrichaceae_UCG-003,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.Holdemania,taxa_Bacteria.Firmicutes.Erysipelotrichia.Erysipelotrichales.Erysipelotrichaceae.nan,taxa_Bacteria.Firmicutes.Negativicutes.Selenomonadales.Acidaminococcaceae.Phascolarctobacterium,taxa_Bacteria.Proteobacteria.Deltaproteobacteria.Desulfovibrionales.Desulfovibrionaceae.Bilophila,taxa_Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Parasutterella,taxa_Bacteria.Verrucomicrobia.Verrucomicrobiae.Verrucomicrobiales.Akkermansiaceae.Akkermansia
21,01007074,6331,4698,77,16904,234,12313,1062,2522,1053,50,570,49,738,160,294,13651,928,18592,536,1857,10232,5927,90,1484,2372,177,1227,85,340,196,334,822,6140,14880,246,134,50,2398,16,136,13932,88,47,211,555,249,31,613,1172,5823,5434,968,749,1693,2054,4953,30532,6622,119,2270,196,6792,37,629,18,718,640,6698
22,01007520,537,0,63,43980,598,3539,4589,300,69,3,10,20,7,35,2,16563,693,4040,209,667,1279,1476,28,2668,8082,222,448,708,7964,863,112,67,3738,2786,0,1358,0,2327,0,17,36318,24,0,313,108,154,229,100,768,386,74,559,91,36,405,0,2003,5486,9,314,14,449,51,0,0,320,2158,0
23,01008097,0,2393,221,77121,764,8918,3634,184,1669,104,1174,935,462,141,20,12982,2329,8649,680,1666,2989,1200,97,1600,9626,420,1183,2025,1744,462,68,222,3020,8410,1584,571,161,1216,78,125,36012,102,283,189,656,710,182,3827,660,2427,5449,1612,453,1306,1119,7362,6922,8590,300,3173,62,2523,50,11,2698,454,1965,683
24,01008265,86,3501,187,21419,461,6918,1881,1973,5002,364,85,1202,128,76,31,6682,1414,11853,448,1232,3939,1551,96,1561,950,243,1869,2399,340,169,56,756,952,8599,63,914,34,330,78,69,10549,56,38,297,119,515,194,860,531,419,3187,447,386,1559,595,2816,4231,9964,74,3858,11,1702,35,54,1203,360,615,666
25,01008612,733,11572,975,38094,1008,12803,9674,662,1273,462,15,87,348,316,643,39347,2353,16149,0,2414,6011,1151,37,6847,2679,91,430,2387,27,184,346,302,2299,20365,79,56,1576,1756,247,198,12425,319,179,499,1480,1782,1402,835,1586,3939,14011,0,1288,875,1023,1967,7534,4710,997,18606,147,3588,148,44,2853,0,231,5457
26,01008631,204,1966,210,18933,3057,5269,5072,392,5690,54,894,271,406,193,35,16103,812,10036,422,871,2258,2438,59,1087,4790,155,1150,1418,1640,860,414,357,3431,15981,6,583,29,1960,9,78,19764,100,27,648,1270,288,406,1041,533,1396,4302,1206,0,1674,1293,1561,3797,5931,100,1707,10,585,108,0,1688,328,894,0
27,01009390,381,1378,631,32253,721,6715,5052,26,531,120,0,155,200,76,137,7715,2336,16574,0,0,738,4664,79,7926,1630,60,321,3128,1094,620,265,314,4321,9165,161,193,263,1263,56,150,16749,407,104,353,180,1478,229,628,1314,0,3478,2344,488,1552,1823,981,9453,6742,86,2015,105,3830,218,7,3189,734,3013,213
28,01010189,405,124,37,123733,1255,5602,17863,6,80,7,0,33,29,12,0,0,156,1817,0,0,112,0,1905,3708,67,0,0,329,0,0,198,119,0,11188,0,0,44,100,0,267,11520,1513,17,1818,0,557,503,51,1073,0,0,0,39,15,0,0,0,0,732,2430,653,0,95,7,3851,819,2739,0
29,01010353,0,0,815,24830,0,2828,1366,3026,129,20,45,0,104,0,84,7728,1447,5753,95,2444,1873,868,54,985,514,113,137,129,0,205,58,34,0,3572,75,498,0,512,0,31,14383,44,8,114,58,185,121,250,313,0,222,200,237,125,242,674,2132,3270,12,240,206,505,11,140,1463,0,0,3970
30,01010869,5049,2849,208,22633,154,2505,968,427,88,42,142,38,92,76,125,12421,1551,13979,492,1768,2456,2511,102,518,1801,520,2098,285,300,361,349,147,3640,6373,93,281,21,624,24,83,10230,137,5,160,267,540,130,314,364,428,870,0,428,261,489,6683,5857,2312,42,1349,613,0,90,20,344,229,0,48
31,01011465,0,565,69,16005,347,2919,2040,13,1238,5,3,4,85,55,7,6912,591,6536,608,842,1243,1391,50,991,4609,96,482,3188,1979,592,255,376,5587,6075,60,91,11,647,5,0,3655,53,19,156,447,93,30,435,302,361,1181,1447,133,187,698,3572,543,3523,25,427,90,1042,32,16,709,287,752,46
32,01012428,0,0,306,260716,3,21,22003,529,90,72,13,0,46,87,137,9218,6184,45904,0,58,6843,9789,23,18365,1578,0,9,1232,3164,0,785,20,18071,24530,1888,14,83,2482,213,0,11070,5282,7707,684,42,8280,35,43703,2934,27,1554,0,1346,1102,1678,5191,17462,58,614,2211,4347,44,346,852,10913,774,8,3907
33,01012516,225,711,169,116093,2153,11648,5692,0,405,188,154,1241,152,29,42,14689,378,2013,0,688,0,524,21,3985,2687,28,50,351,48,287,163,0,2616,3030,85,95,74,698,57,86,16787,869,22,162,265,1381,46,165,663,223,2151,0,111,243,234,4757,4308,9223,130,1411,37,316,97,52,684,762,5632,6168
34,01012545,42,0,294,64963,463,6009,3601,179,1797,240,28,168,204,74,264,1771,2063,18528,74,736,320,3636,85,2615,22476,365,1063,1205,3373,1591,98,3437,4081,5590,91,30,59,1774,58,129,24875,293,108,805,268,1226,309,728,636,5093,8270,1849,405,890,2017,6264,10349,3468,651,6969,49,2020,141,12,2872,789,0,2291
35,01012626,75,4349,476,140468,1686,11540,9173,243,1059,130,14,87,396,233,101,31101,5453,21375,218,0,4186,4892,538,6324,14670,139,2073,8612,2941,1624,743,0,5770,14645,73,525,31,4031,93,33,41278,955,121,1421,787,1276,1170,1120,2605,0,627,217,420,500,1916,17673,3443,14471,147,20834,297,7477,333,21,5269,1731,7864,0
36,01013486,1353,1606,66,7536,318,2480,9413,89,3850,74,24,1221,557,97,61,3853,1693,5956,396,1868,2964,2872,41,1257,2063,264,451,2983,707,207,253,686,1525,8428,0,42,12,516,21,82,19132,37,26,159,54,249,383,1390,584,1500,5128,804,297,1178,262,987,8730,4549,74,6239,0,756,26,361,1061,367,75,89
37,01013541,1745,3690,520,59289,912,7737,5938,3711,4398,298,5662,199,468,290,63,33091,3971,20808,988,1823,5303,4418,221,3652,6652,629,2639,5041,3071,704,386,920,10126,14387,1389,2275,32,2483,54,363,38533,95,138,231,406,626,129,2231,829,2532,3108,2062,693,2988,1837,29489,18769,20823,124,5357,169,2268,68,21,0,402,2547,368
38,01013762,0,153,0,23058,83,1771,638,344,1013,0,214,17,81,101,64,5755,1739,9631,0,294,2332,4850,78,2470,1167,31,808,2462,40,181,243,292,1937,5682,0,0,0,1325,0,10,6960,90,44,41,377,108,146,510,271,102,429,125,318,142,1083,4658,2704,3354,16,1107,257,3477,73,25,673,118,165,15
39,01014138,4004,9315,1811,229,0,143,19,2558,62,13,20,5,744,0,6136,1413,4071,40675,0,961,19928,136,47,8755,40,20,0,37,232,0,0,2958,96,23108,207,72,3,0,121,19,776,0,98,28,5,25,0,997,90,8,52,0,3609,6,8,15,0,0,487,4695,2423,0,2,578,0,0,0,0
40,01014792,362,689,158,68622,847,1334,3907,65,106,54,10,495,157,99,52,1810,270,1714,98,1079,749,476,53,5399,9736,50,79,752,2693,1401,394,47,1794,4567,27,20,38,2048,22,12,17785,925,38,247,627,1132,344,413,464,0,3699,0,99,134,1581,1497,0,880,92,818,29,1171,79,11,0,511,3328,1126
41,01014816,206,1352,123,42210,731,9158,3082,33,4807,106,36,2520,459,109,0,9278,734,4326,325,512,1600,2111,228,1647,4556,291,671,6412,2844,1172,605,1071,3490,8834,0,69,61,1194,11,33,39283,73,111,387,205,526,402,508,854,6446,6481,1856,205,7744,1766,9647,1367,2662,75,10054,144,57,41,55,1197,415,3710,100
